7627528060333509902|2235|20260411|
7627528105451654414|2668|20260411|
7627146890164931853|2104|20260410|
7627146936440638733|972|20260410|snaptik_7583428200806550839_v3
7626901181847194893|4106|20260409|
7626899190454471950|1556|20260409|
7626895956298042638|1294|20260409|
7626895829592296717|7460|20260409|
7626892381853469966|55800|20260409|
7626888508166180109|1824|20260409|
7626885528847125774|8551|20260409|
7626722157774523661|989|20260409|
7626722141236448525|1197|20260409|
7626402939401260302|4249|20260408|
7626402951979879693|2908|20260408|
7626012187936558350|3862|20260407|
7626012196434185485|1198|20260407|
7625635693267520781|6454|20260406|
7625635668718390541|3373|20260406|
7623962548357893390|7424|20260404|
7623962565550427406|9750|20260404|
7623958039867018510|4070|20260403|
7623958025325382926|4165|20260403|
7623955994116181262|1838|20260402|
7623955988890045709|1822|20260402|
7623606609041739021|1882|20260401|
7623171189745224973|7755|20260330|
7623168716498423054|6409|20260330|
7623168116058623245|1479|20260330|
7623166156286823693|38400|20260330|
7623165536414813453|6746|20260330|
7623164107113434381|51700|20260330|
7623059388118404366|3008|20260330|
7622779282179362061|2833|20260329|
7622092510105455886|3913|20260328|
7622091681508101390|1992|20260328|
7622088376937630990|2486|20260327|
7622088256565284110|3657|20260327|
7622084943719517453|2729|20260327|
7622083348889931022|1054|20260327|#greenscreen 
7622081221266246925|23500|20260327|
7621683099402882317|11700|20260326|
7620954605471550733|7232|20260324|
7620942884489022734|8409|20260324|
7620941103000243470|2890|20260324|
7620939070931356941|1962|20260324|
7620938193793338638|4463|20260324|
7619856760332946701|9068|20260321|
7619856726774385934|15900|20260321|
7619856256227970318|4019|20260321|
7619855610678463758|2690|20260321|
7619855318444444941|2534|20260321|
7619854646311505166|1458|20260321|
7619145265940892941|1480|20260320|
7619140019801836814|32500|20260320|
7618719192468049165|3699|20260318|
7618708737070566670|57100|20260318|
7617519767426977038|6421|20260315|#greenscreen 
7616899148603755789|27500|20260314|
7616890770280467725|160500|20260313|
7616888304851569934|4056|20260313|
7616888128799788301|20900|20260313|
7616887958104280333|2171|20260313|
7616887933999516941|1148|20260313|
